0,2
0,3
0,5
0,6
0,11
0,13
0,14
0,16
0,17
0,21
0,24
0,26
0,27
0,31
0,32
0,34
0,36
0,39
0,41
0,44
0,45
0,46
0,48
0,50
0,55
0,60
0,65
0,66
0,71
0,73
0,83
1,2
1,7
1,9
1,12
1,18
1,20
1,54
1,63
1,75
1,94
2,3
2,4
2,6
2,9
2,11
2,14
2,15
2,16
2,18
2,23
2,27
2,30
2,32
2,37
2,45
2,47
2,49
2,56
2,60
2,64
2,67
2,74
2,86
2,87
2,88
2,93
3,4
3,5
3,7
3,10
3,12
3,15
3,25
3,42
3,53
3,77
3,94
4,35
4,43
4,51
4,70
5,8
5,38
5,42
5,50
5,85
5,91
5,96
6,10
6,23
6,39
6,68
6,86
7,8
7,17
7,19
7,29
7,31
7,37
7,59
7,63
7,81
7,92
7,96
8,33
8,56
8,70
9,22
9,25
9,65
10,26
10,35
10,47
10,74
11,54
11,67
12,13
12,36
12,57
12,58
12,72
12,97
13,28
14,52
14,61
14,64
14,80
15,22
15,24
15,30
15,51
16,20
16,71
17,21
17,28
17,33
17,40
17,48
17,80
18,19
18,34
18,58
18,84
18,98
20,46
20,98
23,78
24,79
25,40
25,41
25,78
25,85
26,43
28,29
28,52
28,84
29,69
30,90
31,38
31,61
31,95
32,49
37,57
39,66
40,55
40,95
41,44
41,91
41,99
45,59
47,88
48,77
48,81
48,87
48,97
50,53
50,89
51,62
53,62
54,90
55,72
56,73
57,76
57,82
61,82
62,75
65,68
65,89
65,92
68,69
72,76
73,83
73,93
73,99
75,79
