graph_group,graph_id,weighted_alg,n_nodes,n_edges,weighted,directed,time,path_centrality,path_length,path_nodes_traversed,path,diam_centrality,diam,diam_nodes_traversed,diam_path
100-barabasi_albert,barabasi_albert_100_0,False,100,196,False,False,0.069058705,53,4,5,"[37, 2, 1, 5, 24]",48,5,6,"[60, 10, 2, 1, 12, 97]"
100-barabasi_albert,barabasi_albert_100_1,False,100,196,False,False,0.070199244,50,4,5,"[32, 2, 0, 4, 57]",48,5,6,"[65, 3, 0, 14, 18, 63]"
100-barabasi_albert,barabasi_albert_100_10,False,100,196,False,False,0.070176335,60,4,5,"[5, 0, 2, 1, 75]",59,5,6,"[75, 1, 2, 0, 5, 91]"
100-barabasi_albert,barabasi_albert_100_11,False,100,196,False,False,0.068731724,47,4,5,"[26, 1, 4, 16, 84]",45,5,6,"[36, 2, 1, 4, 76, 83]"
100-barabasi_albert,barabasi_albert_100_12,False,100,196,False,False,0.068671536,46,4,5,"[39, 6, 2, 3, 11]",36,6,7,"[47, 39, 6, 2, 10, 70, 88]"
100-barabasi_albert,barabasi_albert_100_13,False,100,196,False,False,0.069494237,48,4,5,"[21, 0, 2, 3, 20]",47,6,7,"[91, 20, 3, 2, 0, 21, 99]"
100-barabasi_albert,barabasi_albert_100_14,False,100,196,False,False,0.069781045,56,4,5,"[1, 2, 6, 9, 18]",39,6,7,"[76, 64, 5, 2, 8, 88, 89]"
100-barabasi_albert,barabasi_albert_100_15,False,100,196,False,False,0.069523313,46,4,5,"[33, 0, 2, 7, 14]",44,6,7,"[65, 33, 0, 2, 5, 82, 88]"
100-barabasi_albert,barabasi_albert_100_16,False,100,196,False,False,0.068115081,46,4,5,"[7, 4, 0, 3, 22]",46,5,6,"[22, 3, 0, 4, 7, 76]"
100-barabasi_albert,barabasi_albert_100_17,False,100,196,False,False,0.069657516,49,5,6,"[24, 5, 4, 2, 11, 70]",49,5,6,"[24, 5, 4, 2, 11, 70]"
100-barabasi_albert,barabasi_albert_100_18,False,100,196,False,False,0.069633875,46,4,5,"[15, 10, 3, 1, 9]",45,5,6,"[39, 0, 10, 3, 12, 91]"
100-barabasi_albert,barabasi_albert_100_19,False,100,196,False,False,0.071039244,55,3,4,"[12, 2, 6, 15]",51,6,7,"[97, 22, 6, 2, 1, 29, 84]"
100-barabasi_albert,barabasi_albert_100_2,False,100,196,False,False,0.069217717,52,4,5,"[25, 1, 2, 38, 42]",39,6,7,"[71, 59, 9, 2, 4, 27, 37]"
100-barabasi_albert,barabasi_albert_100_20,False,100,196,False,False,0.069067188,60,3,4,"[11, 2, 3, 19]",57,5,6,"[36, 11, 2, 3, 29, 98]"
